title,desc,link
White And Brown Striped Blouse With Belt,"Colour: White, Brown  Material: Georgette   Print: Striped   Neck: Round  Sleeve: Short   Closure: Button ",https://www.faballey.com/white-and-brown-striped-blouse-with-belt-78/prdt
Light Green Collared Satin Shirt,Colour: Light Green  Material: Satin  Neck: Collared  Sleeve: Full   Closure: Button ,https://www.faballey.com/light-green-collared-satin-shirt-78/prdt
Blue Chambray Embroidered Side Tie Top,"Blue top in chambray.  Tailored with short sleeves and a round neck, it features floral embroidery and a tie-up at the side.  Finished with a button closure. Colour: Blue  Material: Chambray  Neck: Round  Sleeve: Short   Closure: Button ",https://www.faballey.com/blue-chambray-embroidered-side-tie-top-78/prdt
Blue Floral Pintuck Front Tie Peplum Top,"Ace your summer OOTD with this chic blue peplum top. Tailored in a refreshing floral print, it has a tie-up in the front and features pintuck detail. Color: Blue   Sleeves Three Quarter   Pattern:Floral   Fabric: Georgette   V-Neck   Closure: Zip ",https://www.faballey.com/blue-floral-pintuck-front-tie-peplum-top-78/prdt
Black Floral Print Off Shoulder Peplum Top,Colour: Black   Material: Georgette   Print: Floral   Neck: Off Shoulder  Sleeve: Short   Closure: Slip On ,https://www.faballey.com/black-floral-smocked-wrap-top-78/prdt
Purple Tie Dye Smocked Peplum Top,"Cute and super stylish, pick this purple peplum top for a casual day out. Splashed with a tie and dye print, it features frilled sleeves and a smocked bodice.     Style Tip: Pair it with white trouser and block heels. Color: Purple   Material: Cotton   Neck: Square   Sleeveless   Closure: Slip On   Pattern: Printed ",https://www.faballey.com/purple-tie-dye-frilled-sleeve-smocked-peplum-top-78/prdt
Yellow Floral Ruched Front Neck Tie Up Top,"Elevate your everyday look with this peppy yellow top. Tailored in a refreshing floral print, it features ruching in the front and a keyhole neck with a tie-up detail. Color:Yellow   Sleeves:Three-Quarter   Pattern: Floral   Fabric: Georgette   Neck: Keyhole   Closure: Zip ",https://www.faballey.com/yellow-floral-ruched-front-neck-tie-up-top-78/prdt
CLASSICS Bow Collar Top - Dusty Pink,Blaze through the work day in this classy dust pink top. Features a smart pussy bow tie with a relaxed fit.     Work It - Looks elegant with formal trousers and high heels. Material - Summercool Georgette   Full Sleeves   Pussy Bow Tie   Relaxed Fit   Length: 25 Inches ,https://www.faballey.com/classics-pussy-bow-top-dusty-pink-225/prdt
White Polka Collared Shirt,"Basic but better,add this white shirt to your work wardrobe. Tailored in a peppy polka print, it has a buttoned front and makes for a super versatile wardrobe addition. Color: White   Sleeves: Full   Pattern: Polka   Fabric: Crepe   Neck: Collared   Closure: Button ",https://www.faballey.com/white-polka-collared-shirt-78/prdt
Hot Pink Floral Print Puff Sleeve Cotton Top,Colour: Hot Pink  Material: Cotton  Print: Floral   Neck: Sweetheart  Sleeve: Short  Closure: Zip ,https://www.faballey.com/hot-pink-floral-print-puff-sleeve-cotton-top-78/prdt
Blue And White Floral Print Top,"Colour: Blue, White  Material: Polyester  Print: Floral   Neck: Collared  Sleeve: Short  Closure: Button ",https://www.faballey.com/blue-and-white-floral-print-linen-top-78/prdt
Green V Neck Blouse,"Green blouse in crepe.  Easy to slip on, it features short sleeves and a V-neck. Colour: Green  Material: Crepe  Neck: V-Neck  Sleeve: Short  Closure: Slip On ",https://www.faballey.com/green-v-neck-blouse-78/prdt
Yellow Floral Print Raglan Sleeve Blouse,"Yellow blouse in georgette. Tailored with three quarter raglan sleeves and a round neck, it features all-over floral print.  Finished with a button closure. ",https://www.faballey.com/yellow-floral-print-raglan-sleeve-blouse-78/prdt
White Off Shoulder Smocked Wrap Top,"White wrap top in crepe.   Easy to slip on, this top features short sleeves, an off shoulder neck, and smocking. Color: White   Material: Crepe   Neck: Off Shoulder   Sleeve: Short   Closure: Slip On ",https://www.faballey.com/white-off-shoulder-smocked-wrap-top-78/prdt
Navy Back Tie Lace Top,"Add this statement navy top to your going-out wardrobe. Tailored in floral lace, it comes with tie-up detail at the back.     Style Tip: Pair this top with beige pants and block heels to complete your look. Color: Blue   Material: Lace   Neck: Square   Pattern: Floral   Sleeves: Full   Closure: Zip ",https://www.faballey.com/navy-back-tie-lace-top-78/prdt
Pink Floral Mock Neck top,"Make a case for effortless styling with this cutesy pink top. Tailored in a fetching floral print, it features a mock neck and is a super versatile wardrobe addition. Color:Pink   Sleeves: Short   Pattern: Floral   Fabric:Georgette   Neck: High   Closure: Button ",https://www.faballey.com/pink-floral-mock-neck-top-78/prdt
Yellow Floral Poplin Puff Sleeve Button Down Shirt,"Set sail into the sunny days with this blooming yellow shirt. Tailored in comfy cotton, it comes with buttons in the front and a tie-up detail.     Style Tip: Pair the shirt with white trousers and block heels to complete the look. Color: Yellow   Material: Cotton   V-Neck   Sleeves: Short   Closure: Button   Pattern: Floral ",https://www.faballey.com/yellow-floral-poplin-puff-sleeve-button-down-shirt-78/prdt
Blue Frilled Sleeve Back Tie Top,"Classic with an elevated update, pick this blue frilled top for your next day out. It features a tie-up detail at the back and has cute frills on the sleeves.     Style Tip: Pair this top with beige palazzo pants and open-toe heels. Color: Blue   Material: Georgette   Neck: Square   Sleeveless   Closure: Zip ",https://www.faballey.com/blue-frilled-sleeve-back-tie-top-78/prdt
Purple Floral Boat Neck Tie Up Blouse,"Purple blouse in georgette.  Easy to slip on, it is tailored with full sleeves, a boat neck, all-over floral print, and features a tie-up. Colour: Purple   Material: Georgette   Print: Floral   Neck: Boat   Sleeve: Full   Closure: Slip On ",https://www.faballey.com/purple-floral-boat-neck-tie-up-blouse-78/prdt
Grey Embellished Cowl Neck Top,Season your evening look with a dash of glam with this grey embellished top. It features a cold shoulder design with embellished straps and a romantic cowl neck .     Style Tip: Pull your hair up in a sleek ponytail to flaunt the details. Material: Georgette   Color: Grey   Neck: Cowl   Sleeves: Short Sleeves   Closure: Slip On   Length : 22 Inches ,https://www.faballey.com/grey-embellished-cowl-neck-top-78/prdt
Purple Cut Out Wrap Top,"Elevate your going-out look with this stylish purple top. Tailored in a wrap design, it features cut out detail on the shoulders and has a tie-up neck. Color: Purple   Sleeves:Three Quarter   Fabric: Crepe   V-Neck   Closure: Zip ",https://www.faballey.com/purple-cut-out-wrap-top-78/prdt
White Schiffli Smocked Crop Top,"Super cute and chic, this white crop is an absolute summer winner. Tailored in comfy cotton, it features short puff sleeves and has a smocked bodice. Color: White   Sleeves: Short   Fabric: Cotton   Neck: Square   Closure: Slip On ",https://www.faballey.com/white-schiffli-smocked-crop-top-78/prdt
Purple Collared Kimono Sleeve Blouse,"Purple blouse in satin.  Easy to slip on, it is tailored with short kimono sleeves and a collared V-neck. Colour: Purple  Material: Satin   Pattern: Self Design   Neck: V-Neck  Sleeve: Short  Closure: Slip On ",https://www.faballey.com/purple-collared-kimono-sleeve-blouse-78/prdt
Hot Pink Schiffli Puff Sleeve Top,"Perky and bright, update your summer closet with this hot pink top. Tailored in floral schiffli, it features ruched sleeves and a sweetheart neck.     Style Tip: Pair the top with a cute denim skirt. Color: Pink   Fabric: Cotton   Neck: Sweetheart   Pattern: Floral   Sleeves: Short   Closure: Zip ",https://www.faballey.com/hot-pink-schiffli-top-78/prdt
Pink Polka Pleated Collared Top With Belt,"This cute pink shirt top is sure to fetch you compliments all season. Tailored in a peppy polka print, it features a pleated fabric and has a self-fabric belt with metal D-ring to accentuate the waist. Color: Pink   Sleeveless   Pattern: Polka   Fabric: Georgette   Neck: Collared   Closure: Button ",https://www.faballey.com/pink-polka-pleated-belted-shirt-top-78/prdt
White Self Design Puff Sleeve Top,"Looking for something minimal? This white top is just the right pick. Tailored in self-design, it has chic puff sleeves and is super easy to style. Color: White   Sleeves Short   Self Design   Fabric: Crepe   Neck: Sweetheart   Closure: Slip On ",https://www.faballey.com/white-self-design-puff-sleeve-top-78/prdt
Hot Pink Frilled Tie Up Sleeve Peplum Top,"Vibrant and chic, pick this hot pink peplum top for a casual day out. It comes with a frilled sweetheart neck and a cutesy tie-up on the sleeves.     Style Tip: Accessorize with dainty earrings and a stack of bracelets. Color: Pink   Material: Georgette   Neck: Sweetheart   Sleeves: Short   Closure: Slip On ",https://www.faballey.com/hot-pink-frilled-tie-up-sleeve-peplum-top-78/prdt
Blue Satin High Neck Ruched Sleeve Top,"Party-apt and super stylish, this blue high neck top totally deserves a spot in your closet. Tailored in lush satin, it comes with ruched detail on the sleeves and makes for a versatile pick. Color:Blue   Sleeves Short   Fabric: Satin   Neck: High   Closure: Button ",https://www.faballey.com/blue-satin-high-neck-ruched-sleeve-top-78/prdt
Blue Mesh Polka Smocked Top,"Perk up your everyday look with this blue mesh top. Peppered with a polka print, it comes with a smocked waist and is super easy to pair.     Style Tip: Wear this top with wide leg trousers and block heels. Color:Blue   Material: Mesh   Pattern:Polka   Neck: V-Neck   Sleeves:Full   Closure:Slip On ",https://www.faballey.com/blue-mesh-polka-smocked-top-78/prdt
Navy Pleated Wrap Top,"Navy self-design wrap top in polyester.   Crafted in a pleated fabric, the top features full sleeves, a V-neck, and a zip closure. Color: Navy   Material: Polyester   Neck: V Neck   Sleeve: Full Sleeves   Closure: Zip ",https://www.faballey.com/navy-pleated-wrap-top-78/prdt
Green Floral Print Puff Sleeve Blouse,"Green blouse in polyester.  Easy to slip on, it is tailored with short puff sleeves and a sweetheart neck, and features all-over floral print. Colour: Green  Material: Polyester   Print: Floral Print  Neck: Sweetheart  Sleeve: Short  Closure: Slip On ",https://www.faballey.com/green-floral-print-puff-sleeve-blouse-78/prdt
Blush Wrinkled Chiffon Embellished Top,"Blush pink embellished top in wrinkled chiffon.   Tailored sleeveless, this top features a round neck and a keyhole-cut button closure in the back. Color: Blush Pink   Material: Wrinkled Chiffon   Neck: Round   Sleeve: Sleeveless   Closure: Button ",https://www.faballey.com/blush-wrinkled-chiffon-embellished-top-78/prdt
Green Lace Smocked Waist Crop Top,"Piece together a chic OOTD with this green crop top. tailored in floral lace, it features a smocking detail on the sleeves and the waist. Color: Green   Sleeves: Short   Pattern:Floral   Fabric: Lace   Neck: Round   Closure: Button ",https://www.faballey.com/green-lace-smocked-waist-crop-top-78/prdt
Powder Blue Polka Pleated Peplum Top,"Powder blue polka peplum top in georgette.   Crafted with pleats in the front, the top features a drawstring detail at the waist.   Tailored with a sweetheart neck, it features button closure. Color: Powder Blue   Material: Georgette   Print: Polka   Neck: Sweetheart   Sleeve: Three Quarter   Closure: Button ",https://www.faballey.com/powder-blue-polka-pleated-top-78/prdt
Wine Polka Frilled Sleeve Crop Top,"Wine floral crop top in georgette.   Easy to slip on, this top features full sleeves and a V neck. Color: Wine   Material: Georgette   Print: Polka Dot   Neck: Round   Sleeve: Sleeveless   Closure: Zip ",https://www.faballey.com/wine-polka-frilled-sleeve-crop-top-78/prdt
Dusty Pink Buttoned Smocked Waist Top,"Laidback yet refined, this dusty pink top will infuse your closet with a feminine flair. Tailored with a smocked waist, it features full sleeves and buttons in the front.     Style Tip: Style Tip: Pair the top with denim shorts and sneakers. Color: Pink   Material: Crepe   Neck: Off Shoulder   Sleeves: Full   Closure: Slip On ",https://www.faballey.com/dusty-pink-buttoned-smocked-waist-top-78/prdt
